theta,rep_mean,rep_std,auc_rel_mean,auc_rel_std,time_s_mean
0.05,0.9223333333333332,0.0021376258897301006,1.0010756097635318,0.0035612435863275403,1.4967303276062012
0.1,0.9496666666666667,0.0011606990230986747,1.00421356831664,0.0028022379192515017,2.892864799499512
0.15,0.9650833333333333,0.001035481637800621,1.0015892390470937,0.002549860958868858,4.243158864974975
0.2,0.9772166666666667,0.0008209073570683071,1.0005317850788071,0.002431256572866653,5.486167049407959
0.3,0.9899000000000001,0.0007156970184527821,1.0005317850788071,0.002431256572866653,8.008510637283326
0.4,1.0,0.0,1.0007918537451586,0.0026974761829827577,9.933828496932984
0.5,1.0,0.0,0.9997389033942559,0.0005221932114882311,11.93010926246643
0.6,1.0,0.0,1.0,0.0,13.288498544692994
0.7,1.0,0.0,1.0,0.0,14.706128978729248
0.8,1.0,0.0,1.0,0.0,15.62010736465454
0.9,1.0,0.0,1.0,0.0,15.333246660232543
1.0,1.0,0.0,1.0,0.0,0.0
