theta,rep_mean,rep_std,auc_rel_mean,auc_rel_std,time_s_mean
0.05,0.9284833333333333,0.0023859542698420853,1.1147410058495573,0.11003710255885778,1.4970916271209718
0.1,0.9547500000000001,0.0019776529298921844,1.1853916262457227,0.09423986240636538,3.030480241775513
0.15,0.9692000000000001,0.0018458662525281265,1.2395017374856583,0.12343963820600838,4.434144449234009
0.2,0.9799166666666667,0.0010474837574980475,1.232204772035202,0.11981172973990356,5.998703527450561
0.3,0.9924166666666666,0.0010474837574980368,1.3283882807264669,0.009272506818630911,8.418034267425536
0.4,1.0,0.0,1.2680807620008625,0.053021817718808935,10.153746318817138
0.5,1.0,0.0,1.2132155965966251,0.1159427023569978,11.719924926757812
0.6,1.0,0.0,1.1784899743560135,0.08733147678615867,13.181927347183228
0.7,1.0,0.0,1.0551387434770052,0.0915748124815205,14.6610999584198
0.8,1.0,0.0,1.0526002611828809,0.08911828460255117,15.381441831588745
0.9,1.0,0.0,1.006824085250292,0.013592558000355894,15.929220533370971
1.0,1.0,0.0,1.0,0.0,0.0
